sepal_length,sepal_width,petal_length,petal_width,species
4.82,2.77,1.33,1.88,virginica
6.37,2.4,2.42,1.35,versicolor
5.61,3.5,1.24,0.83,virginica
5.5,2.8,3.31,1.38,virginica
6.37,2.49,5.52,1.4,versicolor
6.16,2.93,2.94,0.89,versicolor
5.51,3.03,2.93,1.67,setosa
6.73,2.3,5.01,0.36,setosa
4.94,3.13,5.3,1.05,virginica
6.29,2.58,3.57,1.53,virginica
6.27,3.68,4.73,1.03,virginica
5.55,3.21,2.08,1.08,setosa
6.06,2.84,5.77,1.12,versicolor
4.8,2.7,6.92,0.7,versicolor
6.54,2.96,4.48,1.9,setosa
5.65,3.25,0.57,0.59,versicolor
5.38,2.99,2.86,1.39,versicolor
6.64,2.91,4.62,1.45,versicolor
5.24,3.02,3.07,0.63,setosa
4.67,2.76,5.61,1.24,virginica
4.55,2.86,4.58,0.65,versicolor
6.28,2.17,2.64,2.03,versicolor
4.78,3.39,3.75,0.52,virginica
7.2,3.12,2.36,0.81,versicolor
4.13,2.69,3.43,0.47,versicolor
7.16,3.76,2.87,0.39,virginica
5.97,3.03,5.46,2.15,setosa
5.72,2.59,6.87,1.53,setosa
5.36,3.34,1.55,1.28,versicolor
6.12,3.16,0.82,0.81,versicolor
5.77,3.16,3.33,1.74,virginica
6.68,2.83,1.42,0.71,virginica
5.89,3.18,3.77,1.68,versicolor
5.92,2.9,4.82,0.68,versicolor
5.51,3.22,5.94,0.81,setosa
5.75,2.24,4.0,1.65,setosa
6.05,2.83,3.41,1.72,setosa
4.43,3.69,0.73,1.56,setosa
4.72,2.69,3.74,0.57,virginica
6.39,2.76,3.81,0.93,setosa
5.94,2.82,4.66,1.29,setosa
5.65,2.51,2.64,0.69,versicolor
5.81,2.12,3.05,2.02,setosa
6.08,2.91,1.48,-0.24,versicolor
5.37,3.05,0.26,0.73,versicolor
5.18,2.98,2.04,0.89,setosa
5.96,2.94,1.34,-0.51,setosa
5.02,3.02,4.21,0.36,versicolor
6.13,3.41,2.92,1.58,virginica
4.44,2.92,2.89,1.22,versicolor
6.62,2.77,2.22,2.14,virginica
6.18,2.89,-1.15,2.13,virginica
6.0,3.23,5.96,1.46,setosa
6.59,3.56,2.2,1.39,setosa
7.13,2.75,3.08,1.24,setosa
6.61,3.04,1.52,-0.39,setosa
4.33,3.14,5.16,0.36,versicolor
4.78,2.6,3.92,1.26,virginica
5.3,3.01,2.46,1.57,versicolor
5.82,2.41,3.11,1.37,virginica
6.21,2.29,6.22,0.66,versicolor
5.22,3.15,3.59,1.76,virginica
5.95,2.85,3.43,2.09,setosa
5.2,3.08,2.29,1.76,virginica
5.31,2.99,0.86,1.79,setosa
4.67,2.61,3.46,0.86,virginica
5.06,2.98,4.19,1.85,versicolor
4.72,2.51,5.35,1.29,virginica
5.02,3.56,0.33,1.51,versicolor
6.64,2.46,2.01,1.42,versicolor
5.04,2.92,2.83,1.13,setosa
7.91,2.58,3.69,0.68,virginica
6.19,3.23,3.48,1.15,versicolor
5.95,2.87,3.52,1.79,virginica
5.11,2.79,4.31,0.94,setosa
6.36,3.34,2.35,1.74,setosa
5.34,3.01,5.1,1.64,virginica
5.9,3.21,4.35,1.02,versicolor
7.85,2.61,3.22,2.03,versicolor
5.72,2.44,6.1,0.99,versicolor
6.72,3.04,6.03,2.11,virginica
5.24,2.87,5.1,1.46,versicolor
5.77,3.25,-0.83,1.19,versicolor
7.22,2.97,6.07,0.67,versicolor
5.3,3.08,4.89,1.15,setosa
7.25,2.35,6.71,1.08,versicolor
6.37,3.76,5.56,0.45,virginica
5.35,2.93,6.07,1.07,virginica
6.31,3.28,5.02,0.72,versicolor
6.58,2.67,5.72,1.55,virginica
6.3,3.12,6.69,1.98,virginica
4.54,2.48,4.02,0.46,versicolor
5.22,3.18,1.34,2.23,setosa
5.6,2.86,3.24,1.12,versicolor
5.74,3.01,4.28,0.61,virginica
6.3,3.28,3.81,1.65,virginica
5.94,2.51,1.83,0.93,versicolor
4.73,2.73,1.25,1.15,virginica
6.1,3.18,2.59,0.96,setosa
6.29,3.84,4.91,0.71,versicolor
6.25,2.94,6.07,1.63,virginica
6.66,3.24,5.07,1.03,setosa
6.47,2.96,5.29,0.34,virginica
6.17,3.78,3.58,1.53,setosa
5.74,2.3,1.09,0.48,virginica
4.47,3.04,3.02,0.51,versicolor
6.14,2.35,3.31,1.92,virginica
5.97,2.0,2.95,0.48,versicolor
6.02,3.12,3.78,-0.19,setosa
4.78,3.06,4.36,1.57,setosa
4.94,2.89,4.98,1.02,virginica
6.64,2.96,3.28,1.07,versicolor
5.77,4.24,0.84,1.01,versicolor
6.35,2.9,2.98,1.34,setosa
5.82,3.2,3.77,0.75,setosa
5.82,2.74,5.53,2.09,virginica
6.55,3.12,2.85,0.31,setosa
5.39,2.9,4.47,1.47,setosa
5.88,2.84,4.14,1.59,versicolor
5.43,3.73,3.77,0.74,versicolor
5.45,3.47,5.1,0.59,versicolor
5.55,3.05,2.71,1.81,setosa
5.98,2.08,2.84,0.61,virginica
5.42,2.86,3.68,0.84,virginica
6.8,4.08,2.74,1.73,setosa
5.08,2.91,4.46,1.22,virginica
5.65,3.44,2.63,0.12,setosa
5.45,3.58,4.04,2.25,virginica
6.96,3.09,3.55,0.88,setosa
5.96,2.66,4.02,0.96,versicolor
6.63,2.03,3.01,1.35,virginica
4.61,3.27,3.19,1.58,versicolor
6.01,2.67,3.84,2.38,versicolor
6.51,3.07,4.0,0.2,virginica
5.87,2.5,3.69,1.7,setosa
6.65,2.89,6.26,1.65,versicolor
5.39,3.01,2.21,1.12,versicolor
6.93,3.11,3.6,1.67,setosa
7.64,2.55,1.34,1.76,setosa
5.51,3.48,4.26,0.37,virginica
5.44,2.76,2.03,2.25,virginica
6.96,2.33,3.28,0.26,setosa
7.06,2.96,3.14,0.52,versicolor
5.38,3.01,4.12,1.04,setosa
5.46,3.06,2.87,2.35,virginica
5.57,3.54,2.81,1.02,versicolor
4.72,2.91,5.85,1.18,versicolor
5.07,2.95,4.13,2.06,virginica
5.0,2.56,2.86,1.02,versicolor
5.19,3.33,3.32,0.49,setosa
5.77,3.07,6.17,0.95,virginica
5.99,2.83,3.35,2.02,versicolor
7.04,2.24,2.67,1.24,virginica
5.0,3.58,2.67,2.36,versicolor
6.59,2.51,2.88,1.64,setosa
5.63,2.76,2.81,0.81,virginica
5.76,3.14,1.78,1.23,versicolor
6.34,2.52,2.01,0.69,setosa
4.9,2.4,2.46,0.8,setosa
6.11,2.15,4.59,3.89,setosa
5.93,3.29,3.13,1.81,versicolor
6.19,2.78,3.39,1.72,versicolor
6.03,4.17,5.61,0.83,setosa
7.76,2.6,5.64,2.14,setosa
5.29,2.63,3.28,1.86,setosa
5.38,2.77,2.75,2.33,setosa
5.3,3.1,2.4,2.3,setosa
5.36,2.81,4.74,0.31,versicolor
5.29,3.24,3.39,0.53,virginica
6.75,2.61,3.12,0.6,virginica
6.94,2.45,2.48,0.63,virginica
5.34,2.28,2.55,1.39,versicolor
5.13,2.11,4.18,0.86,virginica
6.18,2.79,1.73,2.44,virginica
5.36,2.88,5.19,2.34,virginica
6.31,2.75,2.9,1.2,virginica
5.96,3.5,3.48,2.37,setosa
4.59,3.49,1.69,2.09,versicolor
7.04,2.87,3.68,0.93,virginica
7.24,2.28,3.21,-0.01,setosa
5.31,2.77,3.62,1.07,virginica
5.49,2.76,5.91,0.81,virginica
6.03,2.74,3.97,1.32,virginica
6.07,2.72,2.51,1.25,virginica
6.33,2.74,2.63,1.24,virginica
7.41,2.85,4.59,1.51,setosa
5.66,2.75,5.65,0.47,virginica
5.16,3.08,4.12,1.45,setosa
4.7,3.14,4.73,0.94,virginica
5.22,2.64,4.61,1.32,versicolor
5.77,3.51,5.83,1.77,setosa
7.24,2.61,0.78,0.47,virginica
5.39,2.35,4.7,1.03,setosa
5.98,3.15,5.18,1.13,virginica
5.79,2.67,1.69,0.89,virginica
6.75,3.13,2.37,1.74,setosa
7.82,2.04,2.42,0.77,virginica
5.38,3.56,2.61,0.87,virginica
5.41,3.27,2.98,0.77,virginica
6.64,2.4,4.06,1.86,virginica
6.35,2.41,5.0,0.9,virginica
7.28,3.67,5.32,1.48,virginica
6.27,2.71,2.44,2.39,setosa
5.51,2.67,2.43,1.16,versicolor
6.27,2.09,5.67,1.87,virginica
6.69,2.86,4.67,2.2,setosa
6.46,2.91,3.82,1.82,versicolor
6.21,3.29,4.41,1.19,setosa
6.65,2.44,3.66,1.59,versicolor
6.74,2.39,4.49,0.43,versicolor
6.91,3.18,3.2,0.73,versicolor
6.32,3.4,4.1,0.84,setosa
5.67,2.37,1.43,2.54,versicolor
5.92,3.43,2.67,0.71,virginica
6.77,3.02,2.68,0.7,virginica
5.15,3.44,3.14,0.57,versicolor
6.09,2.97,2.31,1.54,versicolor
5.49,1.99,2.9,1.29,virginica
5.82,2.94,1.43,1.85,setosa
6.82,3.42,4.52,1.6,setosa
5.95,2.64,3.58,0.37,virginica
5.84,2.84,1.14,0.72,setosa
4.71,2.93,2.45,2.02,setosa
6.4,1.84,4.2,1.08,versicolor
6.32,3.67,2.89,1.91,setosa
7.53,2.64,2.65,1.11,virginica
5.55,3.2,3.59,0.62,setosa
5.98,2.97,4.22,1.02,versicolor
6.0,3.5,1.55,0.62,virginica
7.06,3.16,4.53,0.86,virginica
5.72,2.91,2.5,1.32,virginica
6.02,2.64,3.67,1.51,versicolor
6.29,3.32,3.65,0.25,virginica
5.95,2.25,2.91,1.19,versicolor
5.44,3.26,2.16,0.85,versicolor
5.96,2.56,3.27,0.81,setosa
6.66,3.5,6.14,1.28,virginica
4.98,3.06,1.66,0.87,setosa
5.91,3.26,6.24,2.03,setosa
5.24,3.03,3.31,1.91,versicolor
6.76,2.3,3.75,1.91,setosa
4.58,2.66,2.07,0.9,setosa
5.35,3.27,2.54,0.62,setosa
6.1,3.07,2.95,1.25,virginica
7.05,3.47,2.13,1.11,setosa
5.75,3.16,3.39,0.83,versicolor
5.36,2.61,3.09,0.49,virginica
7.3,2.68,6.48,1.18,versicolor
4.64,3.04,1.95,0.96,virginica
4.04,2.07,3.85,1.61,virginica
6.15,3.67,4.07,1.6,virginica
5.4,3.18,2.09,1.86,versicolor
4.98,3.49,4.73,0.44,setosa
6.37,2.37,3.1,1.44,virginica
6.0,3.5,-0.04,0.76,versicolor
5.35,3.89,4.69,0.47,virginica
4.78,2.47,2.02,0.94,setosa
6.5,3.31,2.13,1.84,virginica
6.32,3.0,4.73,0.98,versicolor
5.72,2.38,3.18,2.14,virginica
7.28,3.2,5.08,1.53,versicolor
4.94,3.33,5.52,0.96,setosa
4.58,2.76,2.73,1.9,setosa
5.25,3.47,4.89,1.47,virginica
5.76,2.33,2.57,0.64,setosa
5.99,2.4,7.05,2.32,versicolor
5.61,3.05,2.66,1.36,virginica
6.08,3.01,5.24,1.21,versicolor
4.8,2.71,4.97,0.69,virginica
6.96,3.32,4.17,1.91,versicolor
5.73,3.21,2.69,1.51,virginica
6.69,3.34,3.47,1.58,versicolor
6.07,2.95,0.47,0.9,versicolor
6.17,3.24,4.04,1.7,virginica
6.26,2.82,4.22,1.75,versicolor
6.16,3.82,3.9,0.8,setosa
6.31,2.67,-0.76,0.35,versicolor
6.86,3.84,1.8,1.55,virginica
5.96,3.01,2.58,0.26,setosa
6.37,2.45,4.14,1.29,setosa
5.73,3.55,4.13,0.93,versicolor
6.95,3.05,3.44,1.93,versicolor
5.26,3.34,4.65,0.96,versicolor
7.24,3.49,2.16,1.86,setosa
5.77,3.14,4.62,0.89,setosa
4.66,2.76,4.41,1.8,setosa
5.9,3.39,4.27,2.44,virginica
5.26,3.0,3.43,0.56,virginica
6.47,3.27,6.45,1.38,versicolor
5.28,2.14,4.44,2.85,virginica
5.44,3.18,2.25,1.24,virginica
4.29,2.74,4.07,1.24,versicolor
5.44,3.66,4.83,1.67,versicolor
3.86,3.25,2.82,1.22,setosa
4.53,3.1,5.33,0.18,setosa
6.41,3.19,4.27,1.88,versicolor
6.43,2.6,0.19,-0.0,versicolor
6.14,3.65,4.15,0.95,virginica
5.03,3.8,3.09,1.92,virginica
5.76,3.16,4.51,0.99,virginica
5.8,3.64,5.12,0.78,versicolor
4.87,2.77,3.99,1.73,versicolor
7.0,2.68,6.2,0.69,setosa
6.5,3.02,3.43,0.47,virginica
5.62,3.17,4.64,1.36,setosa
5.82,2.84,4.91,1.09,versicolor
5.97,3.22,3.55,0.45,virginica
4.17,3.12,4.87,1.58,setosa
5.6,2.6,2.81,1.48,versicolor
5.25,3.21,3.07,0.98,setosa
5.0,3.35,1.73,1.03,virginica
5.58,3.07,4.06,1.48,setosa
7.24,3.46,4.19,1.91,setosa
6.31,2.51,5.47,1.03,versicolor
5.34,3.19,4.89,1.59,virginica
6.26,2.53,3.27,1.54,setosa
6.92,2.55,1.93,1.73,versicolor
6.54,2.75,4.35,1.22,virginica
5.85,2.62,5.37,0.65,versicolor
5.28,2.78,4.83,0.92,virginica
6.36,2.91,5.33,1.41,versicolor
6.11,3.33,3.38,2.29,versicolor
6.52,2.87,3.0,0.91,versicolor
6.31,2.37,2.59,1.68,setosa
6.64,3.46,3.62,1.0,setosa
5.37,2.67,3.58,1.27,versicolor
6.85,2.98,4.01,2.11,virginica
5.96,3.18,3.51,1.66,versicolor
7.46,3.08,3.5,0.46,setosa
5.25,3.44,2.53,0.86,virginica
7.19,3.19,5.11,1.95,setosa
5.96,2.66,3.81,1.29,versicolor
5.28,3.87,3.44,0.51,setosa
5.41,3.08,2.58,0.71,setosa
5.54,2.94,1.7,1.62,setosa
6.14,3.39,5.66,1.8,versicolor
6.22,3.1,4.53,1.21,setosa
5.34,3.16,1.26,2.69,versicolor
5.78,4.0,4.84,1.69,versicolor
7.51,2.89,5.08,1.05,setosa
7.18,2.87,3.89,0.71,virginica
6.15,3.05,6.1,0.62,setosa
5.83,3.43,4.03,1.4,setosa
5.9,2.4,1.57,0.91,setosa
6.29,2.21,4.25,2.2,virginica
4.98,2.77,4.07,2.08,virginica
5.59,2.35,2.8,1.58,versicolor
4.47,2.83,4.56,0.49,virginica
6.12,3.2,1.2,0.8,virginica
6.32,2.64,5.19,1.95,setosa
5.41,2.43,2.38,0.86,versicolor
7.06,3.03,2.22,1.87,versicolor
4.82,3.35,3.53,1.48,virginica
4.63,2.32,4.35,1.23,virginica
5.98,3.33,3.95,0.78,setosa
6.64,3.33,2.59,1.14,virginica
7.15,3.38,2.94,1.31,virginica
5.43,3.49,2.0,1.82,versicolor
6.66,3.88,3.36,0.67,virginica
5.77,2.86,5.31,1.04,setosa
5.66,3.04,3.69,1.23,versicolor
6.51,2.83,4.99,1.6,versicolor
6.32,3.0,5.88,0.65,virginica
4.54,3.61,2.82,0.41,setosa
6.98,2.46,3.42,1.6,versicolor
6.9,2.66,6.96,0.29,setosa
5.3,3.55,5.87,1.97,setosa
6.12,3.41,1.19,1.11,virginica
6.2,2.85,4.28,0.27,setosa
6.01,3.34,3.7,0.91,versicolor
5.36,3.14,4.94,1.43,virginica
5.26,3.6,2.58,0.88,versicolor
5.78,3.03,2.44,1.21,setosa
6.74,3.41,2.69,1.64,setosa
6.23,4.06,2.84,1.08,virginica
5.5,3.24,4.92,0.64,virginica
6.42,3.02,1.93,1.02,versicolor
3.52,3.29,2.77,2.05,versicolor
6.72,2.85,1.02,2.21,setosa
4.41,3.96,5.21,-0.01,virginica
5.51,3.07,5.61,1.85,setosa
4.9,2.89,3.21,1.35,setosa
4.76,2.67,3.25,1.75,versicolor
6.73,3.44,4.38,0.87,versicolor
5.43,3.35,5.91,0.14,versicolor
6.08,2.8,4.31,1.55,virginica
5.76,3.23,2.65,0.64,versicolor
6.18,2.4,1.27,0.37,virginica
5.86,3.07,2.03,0.41,setosa
4.77,3.18,3.81,1.56,virginica
6.6,3.68,2.72,1.28,versicolor
5.4,2.69,3.99,1.67,virginica
4.55,2.49,2.87,1.6,virginica
5.46,2.64,2.11,0.95,versicolor
7.0,2.47,1.93,1.16,versicolor
6.48,3.53,6.04,0.89,setosa
5.52,3.62,5.03,1.07,virginica
5.52,3.13,6.3,0.62,setosa
5.54,3.49,4.51,1.43,setosa
7.46,3.05,3.06,1.85,virginica
6.11,2.96,5.69,0.71,setosa
6.14,2.87,3.65,1.97,virginica
6.62,2.88,4.03,1.27,setosa
5.99,2.38,3.64,1.34,setosa
5.59,3.11,-0.72,0.18,virginica
5.64,2.98,6.11,0.12,versicolor
5.74,3.3,4.44,1.29,virginica
5.77,3.04,4.19,1.67,versicolor
6.38,2.93,3.61,0.8,virginica
5.84,2.65,3.95,2.2,virginica
6.39,3.03,2.8,1.64,versicolor
5.74,3.3,4.62,0.65,versicolor
5.86,2.54,1.74,1.22,virginica
4.2,3.03,3.98,2.69,virginica
6.53,3.09,4.54,0.45,virginica
6.08,2.71,3.4,1.52,versicolor
6.6,2.76,4.26,1.01,virginica
3.48,3.09,2.21,1.62,versicolor
7.47,2.55,2.25,1.96,setosa
5.69,3.14,4.06,0.97,versicolor
6.69,2.64,4.72,1.87,setosa
4.97,3.43,0.89,2.53,virginica
6.29,3.94,4.48,1.24,virginica
4.96,2.66,2.89,1.67,versicolor
5.3,3.21,3.41,0.85,setosa
7.33,2.71,1.69,1.21,virginica
5.65,3.42,2.42,1.09,virginica
5.97,2.49,5.15,1.68,setosa
6.5,3.19,3.75,1.92,virginica
6.2,2.65,3.13,1.13,virginica
5.92,2.92,3.53,2.12,versicolor
6.09,2.59,4.43,2.12,virginica
7.72,3.33,4.36,1.71,setosa
5.75,2.67,3.59,0.89,virginica
5.96,3.22,5.34,0.83,versicolor
6.64,2.86,5.16,0.71,virginica
6.68,2.95,4.32,1.77,setosa
6.75,3.06,3.78,0.47,virginica
6.31,2.7,4.69,1.61,setosa
4.89,3.08,4.17,0.55,versicolor
7.11,3.61,5.29,1.69,virginica
4.88,2.69,5.05,1.21,virginica
6.04,3.47,2.17,2.0,versicolor
5.2,3.6,2.07,1.88,setosa
5.75,2.67,2.65,2.06,setosa
6.06,2.42,5.16,2.08,virginica
6.06,3.12,1.34,1.29,setosa
6.14,2.78,4.29,0.5,setosa
7.09,3.75,4.24,0.57,virginica
6.16,3.01,5.44,-0.05,setosa
5.6,2.68,3.97,0.55,setosa
6.57,2.54,1.69,1.24,virginica
6.75,3.44,2.26,0.86,virginica
4.82,2.77,1.93,1.09,setosa
6.28,3.02,2.89,1.5,virginica
6.36,3.38,3.43,1.02,setosa
5.56,2.81,1.95,0.53,setosa
6.9,2.98,5.91,1.17,setosa
5.68,2.99,1.71,0.66,setosa
5.9,3.27,5.72,1.04,virginica
5.66,3.24,5.48,2.01,virginica
5.81,2.91,5.05,1.04,versicolor
4.92,3.03,2.66,2.26,virginica
4.65,2.85,4.21,2.06,versicolor
7.08,2.41,1.78,0.85,setosa
5.12,3.1,5.07,0.53,virginica
5.01,3.76,3.59,1.17,setosa
4.08,2.65,3.09,1.89,versicolor
5.29,2.69,1.86,0.91,virginica
4.74,2.65,-0.02,1.74,virginica
7.11,3.29,2.14,1.93,virginica
6.61,3.18,5.37,0.74,virginica
5.25,2.94,3.1,0.79,setosa
7.6,2.63,3.45,1.63,virginica
6.59,3.04,4.68,1.29,versicolor
5.54,2.37,6.41,0.79,virginica
3.8,3.06,5.69,0.99,versicolor
7.63,3.35,2.24,1.16,versicolor
4.69,2.5,0.79,0.26,setosa
4.48,2.39,7.24,1.66,virginica
6.62,3.63,7.1,0.91,versicolor
7.75,2.76,3.98,-0.47,virginica
6.91,3.45,1.79,1.19,setosa
6.25,2.94,5.14,0.76,setosa
6.28,2.94,3.54,2.21,virginica
6.48,3.18,3.53,0.85,versicolor
6.41,2.65,5.04,0.54,setosa
6.02,3.05,4.2,1.5,versicolor
5.88,2.85,1.92,0.8,versicolor
5.75,2.47,3.21,0.73,virginica
5.2,3.13,4.69,1.51,setosa
5.58,2.89,4.47,0.58,virginica
4.45,2.94,4.09,0.33,virginica
5.72,2.52,5.1,2.24,virginica
5.01,3.64,3.16,1.55,versicolor
4.92,3.35,3.97,1.04,virginica
5.94,3.39,-1.36,1.2,setosa
6.91,2.88,3.03,1.5,versicolor
6.53,2.31,4.85,1.78,virginica
4.54,3.78,3.11,0.75,setosa
5.01,2.98,3.0,1.42,virginica
6.55,2.7,2.14,0.9,virginica
5.01,3.17,5.21,1.09,virginica
5.62,3.47,4.52,1.3,versicolor
6.24,2.99,4.94,1.2,virginica
5.03,3.51,1.11,1.64,setosa
5.88,3.43,3.46,1.49,virginica
4.73,2.57,3.28,0.3,virginica
5.32,2.73,3.28,0.39,versicolor
6.06,3.38,2.78,0.98,virginica
4.53,1.91,3.18,2.3,setosa
6.15,2.94,4.97,0.69,setosa
5.78,2.43,0.83,1.08,virginica
6.24,2.81,6.37,0.88,setosa
5.98,2.88,4.43,0.87,setosa
6.89,2.86,3.64,1.31,virginica
5.9,2.78,5.06,2.04,setosa
5.46,2.56,1.52,1.47,setosa
5.9,3.92,2.7,0.72,virginica
6.23,3.75,3.52,2.85,versicolor
5.84,2.54,5.75,1.25,versicolor
5.83,3.63,3.63,0.85,virginica
5.24,2.84,4.38,2.05,versicolor
5.27,3.05,2.82,0.92,versicolor
4.68,2.97,4.43,2.2,versicolor
7.2,2.74,6.22,0.68,versicolor
4.8,3.39,5.19,2.06,virginica
5.25,3.05,3.58,1.32,versicolor
5.23,2.81,4.71,1.97,versicolor
6.52,2.48,4.57,2.34,virginica
5.56,2.64,4.46,0.52,virginica
6.8,2.34,5.37,1.97,versicolor
5.26,3.0,5.36,0.35,setosa
6.02,2.52,3.51,0.57,virginica
5.13,2.89,4.66,0.72,virginica
7.52,3.55,3.13,1.5,versicolor
4.85,3.48,2.32,1.22,setosa
6.05,2.99,3.3,1.1,virginica
6.31,2.97,3.59,1.29,virginica
6.13,3.75,1.21,1.55,virginica
5.65,3.21,4.99,1.6,setosa
5.7,2.87,-0.45,1.86,virginica
5.84,2.43,7.77,2.29,virginica
5.68,3.16,5.95,1.19,setosa
6.57,3.33,3.31,0.89,virginica
7.57,2.75,3.71,1.57,setosa
5.35,3.12,4.15,0.51,setosa
4.7,2.85,2.82,0.79,setosa
5.73,2.93,3.99,1.8,versicolor
7.86,2.0,3.48,1.13,virginica
5.16,2.91,3.56,0.48,virginica
7.11,3.39,3.97,0.31,virginica
7.14,2.75,1.73,1.23,setosa
5.36,3.02,3.76,1.89,versicolor
6.26,2.7,3.95,1.88,setosa
7.1,3.14,3.89,1.27,virginica
5.5,2.91,3.38,2.41,setosa
5.64,2.62,5.41,1.14,versicolor
5.33,3.53,3.17,1.12,virginica
4.99,3.37,4.04,-0.34,setosa
5.28,2.76,5.65,0.93,versicolor
4.82,3.2,3.58,1.71,setosa
5.83,3.21,4.02,2.14,setosa
5.18,3.26,3.56,0.7,virginica
5.99,2.32,5.56,1.48,versicolor
4.56,3.4,3.31,1.83,setosa
6.06,2.77,5.63,1.21,versicolor
6.47,2.86,3.54,-0.17,virginica
4.21,4.06,2.41,1.35,virginica
6.1,3.12,4.72,1.66,virginica
6.78,2.85,3.24,0.63,versicolor
4.83,2.12,4.63,1.05,versicolor
7.14,3.56,-0.39,0.51,setosa
6.14,2.46,3.71,-0.34,versicolor
5.24,2.6,3.01,1.82,virginica
5.76,2.87,2.11,1.2,setosa
6.25,3.57,2.87,2.16,versicolor
5.86,3.31,2.84,1.71,virginica
6.23,2.94,3.63,0.99,virginica
5.06,3.12,1.65,1.15,setosa
5.94,2.76,4.17,1.54,virginica
4.67,3.06,5.75,1.78,versicolor
5.71,3.03,4.12,1.39,virginica
5.08,3.39,4.91,1.86,setosa
5.21,3.39,5.34,1.02,virginica
6.79,3.2,5.55,0.6,virginica
6.67,2.86,6.51,1.16,versicolor
6.29,3.3,2.95,1.32,versicolor
4.93,2.96,2.62,0.48,versicolor
5.55,2.57,4.88,0.4,versicolor
6.77,2.84,4.76,1.47,virginica
5.91,3.03,4.86,0.96,versicolor
7.66,3.36,6.53,1.1,virginica
6.11,2.93,3.72,0.98,versicolor
5.95,2.52,4.34,2.11,versicolor
5.55,3.02,2.23,1.96,versicolor
5.91,3.05,6.9,0.46,virginica
5.68,3.07,3.2,0.88,versicolor
6.37,3.37,3.24,1.71,virginica
6.57,3.41,3.18,1.56,versicolor
5.17,2.76,2.73,1.18,versicolor
4.74,2.75,2.61,0.52,setosa
4.33,2.58,2.91,0.79,versicolor
6.21,3.28,1.65,0.89,virginica
4.92,3.58,2.52,1.37,setosa
4.08,2.87,6.62,2.22,virginica
6.11,2.9,4.8,0.79,virginica
7.79,3.59,5.09,0.58,setosa
5.8,3.2,5.47,1.13,versicolor
6.47,3.17,6.45,1.82,setosa
5.87,2.52,1.04,0.33,virginica
5.72,3.27,1.86,2.07,versicolor
6.54,2.63,2.49,1.1,setosa
5.57,2.55,3.0,0.76,virginica
6.01,2.86,3.25,0.24,versicolor
6.06,2.77,3.03,1.62,virginica
5.27,2.91,4.03,1.1,versicolor
6.59,2.42,3.75,1.3,versicolor
5.66,3.38,2.62,0.66,setosa
5.2,3.45,0.44,1.01,versicolor
6.23,2.22,2.21,0.91,virginica
5.08,3.39,2.88,1.14,versicolor
5.82,2.68,3.33,0.8,virginica
5.79,3.34,2.01,0.28,versicolor
6.67,2.97,2.96,2.84,versicolor
6.18,3.01,2.0,0.38,setosa
5.78,2.93,3.51,1.31,versicolor
6.45,3.48,2.09,0.14,versicolor
6.91,2.5,2.43,0.0,virginica
6.25,3.24,1.74,1.26,virginica
5.81,3.44,3.47,1.3,virginica
4.75,3.29,2.4,1.96,versicolor
4.95,3.93,5.06,1.44,virginica
5.56,2.79,4.31,1.11,virginica
5.31,3.38,3.6,0.63,versicolor
5.65,2.96,2.5,2.1,virginica
5.85,3.49,4.27,1.76,setosa
6.22,3.0,4.74,0.45,setosa
5.74,2.84,3.91,1.22,virginica
6.19,3.52,6.11,1.29,virginica
5.85,2.8,4.39,0.99,virginica
4.22,2.43,5.07,1.66,versicolor
5.05,2.79,3.9,1.7,setosa
5.68,3.25,4.71,1.09,setosa
4.83,3.56,2.5,1.03,virginica
6.28,3.04,3.01,2.1,virginica
7.02,3.53,4.22,1.76,versicolor
6.78,2.46,4.21,1.24,versicolor
5.63,2.82,4.46,0.22,setosa
6.99,2.88,5.35,1.41,versicolor
5.92,2.95,1.56,1.62,setosa
5.53,3.03,2.24,-0.45,virginica
5.31,3.28,4.04,1.35,virginica
5.56,2.82,2.61,0.95,setosa
5.49,3.06,8.77,1.07,virginica
5.94,2.98,4.47,0.66,versicolor
5.93,2.63,3.58,1.11,virginica
5.8,2.95,2.93,2.04,virginica
6.15,2.94,2.98,0.93,setosa
6.75,2.93,3.75,1.78,versicolor
6.56,3.01,3.87,0.72,versicolor
4.61,3.03,3.01,1.66,virginica
3.76,2.83,3.29,1.2,virginica
6.55,3.51,5.72,1.41,versicolor
4.71,2.53,5.78,1.2,versicolor
5.62,2.71,4.08,1.58,setosa
4.86,4.11,1.69,-0.34,virginica
4.36,2.58,4.51,0.35,virginica
6.23,2.46,6.03,1.45,versicolor
6.41,3.29,5.75,-0.03,setosa
5.34,2.17,4.8,0.88,versicolor
3.73,2.91,5.83,1.17,virginica
5.36,3.86,3.78,0.7,virginica
6.11,2.38,4.64,0.79,virginica
4.62,2.21,2.68,1.36,virginica
5.95,2.4,4.14,1.81,setosa
5.79,3.36,5.69,0.62,virginica
6.26,3.45,2.82,0.85,versicolor
5.9,2.79,2.41,0.76,setosa
5.02,3.27,3.85,-0.25,setosa
6.76,3.56,3.36,1.29,virginica
5.67,3.71,4.67,1.76,setosa
5.78,2.9,3.02,1.81,virginica
5.05,2.08,6.28,0.68,setosa
5.45,2.67,1.77,0.45,setosa
5.09,2.83,5.58,1.21,versicolor
